grapheme	label	olaph	espeak	gruut	olaph_source	olaph_splits	olaph_per	espeak_per	gruut_per	olaph_llm	byt5	olaph_llm_per	byt5_per
Alphonsine	alfɔsin	alfɔsin	alfɔsin	alfɔsin	compound	al|pho|ns|ine	0.0	0.0	0.0	alfɔsin	alfɔ̃sin	0.0	0.125
Alès	alɛs	alɛs	alɛ	alɛs	compound	al|ès	0.0	0.3333333333333333	0.0	alɛs	alɛs	0.0	0.0
Alépin	alepɛ	alepɛ	alepɛ	alepɛ	compound	alé|pin	0.0	0.0	0.0	alepɛ̃	alepɛ̃	0.16666666666666666	0.16666666666666666
Amalric	amalʁik	amalʁik	amalʁik	amalʁik	compound	ama|l|ric	0.0	0.0	0.0	amalʁik	amalʁik	0.0	0.0
Amanda	amɑda	amɑa	amɑda	amɑda	compound	amand|a	0.25	0.0	0.0	amɑ̃a	amɑ̃da	0.2	0.16666666666666666
Amari	amaʁi	amaʁi	amaʁi	amaʁi	compound	ama|ri	0.0	0.0	0.0	amaʁi	amaʁi	0.0	0.0
Amarouche	amaʁuʃ	amaʁuʃ	amaʁuʃ	amaʁuʃ	compound	ama|rou|che	0.0	0.0	0.0	amaʁuʃ	amaʁuʃ	0.0	0.0
Ameline	amlin	amlin	amlin	amlin	compound	ame|line	0.0	0.0	0.0	amlin	amlin	0.0	0.0
Amhara	amaʁa	amaʁa	amaʁa	amaʁa	compound	am|har|a	0.0	0.0	0.0	amaʁa	amaʁa	0.0	0.0
Amherst	amœʁst	amʃɛʁst	amhəst	ame	compound	am|her|st	0.2857142857142857	0.3333333333333333	1.3333333333333333	amʃɛʁst	amɛʁst	0.2857142857142857	0.16666666666666666
Amine	amin	amin	amin	amin	compound	amin|e	0.0	0.0	0.0	amin	amin	0.0	0.0
Amos	amɔs	amo	amo	amo	compound	am|os	0.6666666666666666	0.6666666666666666	0.6666666666666666	amo	amo	0.6666666666666666	0.6666666666666666
Amraoui	amʁawi	amʁawi	amʁawi	ɑʁawi	compound	am|ra|oui	0.0	0.0	0.4	amʁawi	amʁawi	0.0	0.0
Amrou	amʁu	amʁu	amʁu	ɑʁu	compound	am|rou	0.0	0.0	0.6666666666666666	amʁu	amʁu	0.0	0.0
Amélie	ameli	ameli	ameli	ameli	compound	amé|lie	0.0	0.0	0.0	ameli	ameli	0.0	0.0
Anansi	anansi	anasi	anɑsi	anɑsi	compound	ana|ns|i	0.2	0.4	0.4	anɑ̃si	anɑ̃zi	0.3333333333333333	0.5
Anatole	anatɔl	anatɔl	anatɔl	anatɔl	compound	ana|tole	0.0	0.0	0.0	anatɔl	anatɔl	0.0	0.0
Anaxarque	anaksaʁk	anaksaʁk	anaksaʁk	anaksaʁk	compound	ana|x|arque	0.0	0.0	0.0	anaksaʁk	anaksaʁk	0.0	0.0
Anaïs	anais	anais	anais	anais	compound	ana|ïs	0.0	0.0	0.0	anais	anais	0.0	0.0
Andréan	ɑdʁeɑ	ɑdʁeɑ	ɑdʁeɑ	ɑdʁeɑ	compound	andré|an	0.0	0.0	0.0	ɑ̃dʁeɑ̃	ɑ̃dʁeɑ̃	0.2857142857142857	0.2857142857142857
Andréana	ɑdʁeana	ɑdʁeana	ɑdʁeana	ɑdʁeana	compound	andré|ana	0.0	0.0	0.0	ɑ̃dʁeana	ɑ̃dʁeana	0.125	0.125
Andréane	ɑdʁean	ɑdʁean	ɑdʁean	ɑdʁean	compound	andré|ane	0.0	0.0	0.0	ɑ̃dʁean	ɑ̃dʁean	0.14285714285714285	0.14285714285714285
Andréanne	ɑdʁean	ɑdʁean	ɑdʁean	ɑdʁean	compound	andré|anne	0.0	0.0	0.0	ɑ̃dʁean	ɑ̃dʁean	0.14285714285714285	0.14285714285714285
Angelin	ɑʒlɛ	ɑʒlɛ	ɑʒlɛ	ɑʒlɛ	compound	ange|lin	0.0	0.0	0.0	ɑ̃ʒlɛ̃	ɑ̃ʒlɛ̃	0.3333333333333333	0.3333333333333333
Angeline	ɑʒlin	ɑʒlin	ɑʒlin	ɑʒlin	compound	ange|line	0.0	0.0	0.0	ɑ̃ʒlin	ɑ̃ʒlin	0.16666666666666666	0.16666666666666666
Anglade	ɑɡlad	ɑɡlad	ɑɡlad	ɑɡlad	compound	ang|lad|e	0.0	0.0	0.0	ɑ̃ɡlad	ɑ̃glad	0.16666666666666666	0.3333333333333333
Angoulême	ɑɡulɛm	ɑɡulɛm	ɑɡulɛm	ɑɡulɛm	compound	[]	0.0	0.0	0.0	ɑ̃ɡulɛm	ɑ̃gulɛm	0.14285714285714285	0.2857142857142857
Angoumois	ɑɡumwa	ɑɡumwa	ɑɡumwa	ɑɡumwa	compound	ang|ou|mois	0.0	0.0	0.0	ɑ̃ɡumwa	ɑ̃gumwa	0.14285714285714285	0.2857142857142857
Anita	anita	anita	anita	anita	compound	ani|ta	0.0	0.0	0.0	anita	anita	0.0	0.0
Annecy	ansi	ansi	anəsi	ansi	compound	anne|cy	0.0	0.2	0.0	ansi	ansi	0.0	0.0
Antarès	ɑtaʁɛ	ɑtaʁɛs	ɑtaʁɛs	ɑtaʁɛs	compound	ant|ar|ès	0.16666666666666666	0.16666666666666666	0.16666666666666666	ɑ̃taʁɛs	ɑ̃taʁɛs	0.2857142857142857	0.2857142857142857
Antiochos	ɑtjɔkɔs	ɑtiɔkɔ	ɑtjoko	ɑsjɔʃo	compound	anti|ocho|s	0.3333333333333333	0.5	0.6666666666666666	ɑ̃tjɔʃɔ	ɑ̃tjɔʃo	0.42857142857142855	0.5714285714285714
Antiphon	ɑtifɔ	ɑtifɔ	ɑtifɔ	ɑtifɔ	compound	anti|pho|n	0.0	0.0	0.0	ɑ̃tifɔ̃	ɑ̃tifɔ̃	0.2857142857142857	0.2857142857142857
Antisthène	ɑtistɛn	ɑtistɛn	ɑtistɛn	ɑtistɛn	compound	[]	0.0	0.0	0.0	ɑ̃tistɛn	ɑ̃tistɛn	0.125	0.125
Antras	ɑtʁas	ɑtʁa	ɑtʁa	ɑtʁa	compound	ant|ras	0.25	0.25	0.25	ɑ̃tʁa	ɑ̃tʁa	0.4	0.4
Anubis	anybis	anybis	anybi	anybi	compound	an|ub|is	0.0	0.2	0.2	anybis	anybi	0.0	0.2
Aostois	aɔstwa	aɔstwa	aɔstwa	aɔstwa	compound	a|ost|ois	0.0	0.0	0.0	astwa	aɔstwa	0.2	0.0
Aounit	aunit	awnit	auni	awni	compound	aou|nit	0.2	0.25	0.5	awni	auni	0.5	0.25
Apamène	apamɛn	apamɛn	apamɛn	apamɛn	compound	ap|amène	0.0	0.0	0.0	apamɛn	apamɛn	0.0	0.0
Apamée	apame	apame	apame	apame	compound	ap|amé|e	0.0	0.0	0.0	apame	apame	0.0	0.0
Apennins	apenɛ	apenɛ	apɛnɛ	apɛnɛ	compound	apennin|s	0.0	0.2	0.2	apɛnɛ̃	apenɛ̃	0.3333333333333333	0.16666666666666666
Apollinaire	apɔlinɛʁ	apɔlinɛʁ	apɔlinɛʁ	apɔlinɛʁ	compound	apo|llin|aire	0.0	0.0	0.0	apɔlinɛʁ	apɔlinɛʁ	0.0	0.0
Apolline	apɔlin	apɔlin	apɔlin	apɔlin	compound	apo|llin|e	0.0	0.0	0.0	apɔlin	apɔlin	0.0	0.0
Apollodore	apɔlɔdɔʁ	apɔlɔdɔʁ	apɔlodɔʁ	apɔlɔdɔʁ	compound	apo|ll|odo|re	0.0	0.125	0.0	apɔlɔdɔʁ	apɔlɔdɔʁ	0.0	0.0
Apulée	apyle	apyle	apyle	apyle	compound	ap|ul|ée	0.0	0.0	0.0	apyle	apyle	0.0	0.0
Aragon	aʁaɡɔ	aʁaɡɔ	aʁaɡɔ	aʁaɡɔ	compound	ara|gon	0.0	0.0	0.0	aʁaɡɔ	aʁagɔ̃	0.0	0.3333333333333333
Arbonne	aʁbɔn	aʁbɔn	aʁbɔn	aʁbɔn	compound	ar|bonne	0.0	0.0	0.0	aʁbɔn	aʁbɔn	0.0	0.0
Arbrissel	aʁbʁisɛl	aʁbʁisɛl	aʁbʁisɛl	aʁbʁisɛl	compound	ar|bris|sel	0.0	0.0	0.0	aʁbʁisɛl	aʁbʁisɛl	0.0	0.0
Arcangues	aʁkɑɡ	aʁkɑɡ	aʁkɑɡ	aʁkɑɡ	compound	arc|ang|ues	0.0	0.0	0.0	aʁkɑ̃ɡ	aʁkɑ̃g	0.16666666666666666	0.3333333333333333
Archiloque	aʁʃilɔk	aʁʃilɔk	aʁʃilok	aʁʃilɔk	compound	archi|loque	0.0	0.14285714285714285	0.0	aʁʃilɔk	aʁʃilɔk	0.0	0.0
Archélaüs	aʁʃelays	aʁʃelays	aʁkelays	aʁʃela	compound	[]	0.0	0.125	0.3333333333333333	aʁʃelays	aʁʃelay	0.0	0.14285714285714285
Ardèche	aʁdɛʃ	aʁdɛʃ	aʁdɛʃ	aʁdɛʃ	compound	ar|dèche	0.0	0.0	0.0	aʁdɛʃ	aʁdɛʃ	0.0	0.0
Aristippe	aʁistip	aʁistip	aʁistip	aʁistip	compound	aris|tip|pe	0.0	0.0	0.0	aʁistip	aʁistip	0.0	0.0
Aristée	aʁiste	aʁiste	aʁiste	aʁiste	compound	aris|tée	0.0	0.0	0.0	aʁiste	aʁiste	0.0	0.0
Aristénète	aʁistenɛt	aʁistenɛt	aʁistenɛt	aʁistenɛt	compound	[]	0.0	0.0	0.0	aʁistenɛt	aʁistenɛt	0.0	0.0
Arize	aʁiz	aʁiz	aɹaɪz	aʁiz	compound	ari|ze	0.0	0.6	0.0	aʁiz	aʁiz	0.0	0.0
Ariège	aʁjɛʒ	aʁjɛʒ	aʁjɛʒ	aʁjɛʒ	compound	[]	0.0	0.0	0.0	aʁjɛʒ	aʁjɛʒ	0.0	0.0
Arlette	aʁlɛt	aʁlɛt	aʁlɛt	aʁlɛt	compound	ar|lette	0.0	0.0	0.0	aʁlɛt	aʁlɛt	0.0	0.0
Arlon	aʁlɔ	aʁlɔ	aʁlɔ	aʁlɔ	compound	ar|lon	0.0	0.0	0.0	aʁlɔ	aʁlɔ̃	0.0	0.2
Armelle	aʁmɛl	aʁmɛll	aʁmɛl	aʁmɛl	compound	armel|le	0.16666666666666666	0.0	0.0	aʁmɛl	aʁmɛl	0.0	0.0
Armin	aʁmɛ	aʁmɛ	aʁmɛ	aʁmɛ	compound	ar|min	0.0	0.0	0.0	aʁmɛ̃	aʁmɛ̃	0.2	0.2
Arnault	aʁnol	aʁnolt	aʁno	aʁno	compound	ar|nau|lt	0.16666666666666666	0.25	0.25	aʁnolt	aʁno	0.16666666666666666	0.25
Arno	aʁno	aʁno	aʁno	aʁno	compound	ar|no	0.0	0.0	0.0	aʁno	aʁno	0.0	0.0
Arpajon	aʁpaʒɔ	aʁpaʒɔ	aʁpaʒɔ	aʁpaʒɔ	compound	ar|pa|jo|n	0.0	0.0	0.0	aʁpaʒɔ̃	aʁpaʒɔ̃	0.14285714285714285	0.14285714285714285
Arpavon	aʁpavɔ	aʁpavɔ	aʁpavɔ	aʁpavɔ	compound	ar|pa|vo|n	0.0	0.0	0.0	aʁpavɔ̃	aʁpavɔ̃	0.14285714285714285	0.14285714285714285
Arrouet	aʁwɛ	aʁwɛ	aʁwɛ	aʁuɛ	compound	arr|ouet	0.0	0.0	0.25	aʁuɛ	aʁwɛ	0.25	0.0
Arruda	aʁuda	aʁoda	aʁyda	aʁyda	compound	arr|ud|a	0.2	0.2	0.2	aʁyda	aʁyda	0.2	0.2
Arsène	aʁsɛn	aʁsɛn	aʁsɛn	aʁsɛn	compound	[]	0.0	0.0	0.0	aʁsɛn	aʁsɛn	0.0	0.0
Arundel	aʁyndɛl	aʁœdɛl	aʁœdɛl	aʁœdɛl	compound	ar|un|del	0.3333333333333333	0.3333333333333333	0.3333333333333333	aʁœ̃dɛl	aʁœ̃dɛl	0.2857142857142857	0.2857142857142857
Arviat	aʁviat	aʁvjat	aʁvja	aʁvja	compound	ar|via|t	0.16666666666666666	0.4	0.4	aʁvjat	aʁvja	0.16666666666666666	0.4
Arzou	aʁzu	aʁzu	aʁzu	aʁzu	compound	ar|zou	0.0	0.0	0.0	aʁzu	aʁzu	0.0	0.0
Arès	aʁɛs	aʁɛs	aʁɛs	aʁɛs	compound	ar|ès	0.0	0.0	0.0	aʁɛs	aʁɛs	0.0	0.0
Assouline	asulin	asulin	asulin	asulin	compound	as|soul|ine	0.0	0.0	0.0	asulin	asulin	0.0	0.0
Astrid	astʁid	astʁid	astʁid	astʁid	compound	astr|id	0.0	0.0	0.0	astʁid	astʁid	0.0	0.0
Ath	at	at	aθ	at	compound	at|h	0.0	0.5	0.0	at	at	0.0	0.0
Athénaïs	atenais	atenais	atenais	atenai	compound	athéna|ïs	0.0	0.0	0.16666666666666666	atenais	atenaj	0.0	0.3333333333333333
Atsuko	atsuko	atsyko	atsyko	atsyko	compound	at|su|ko	0.16666666666666666	0.16666666666666666	0.16666666666666666	atsuko	atsuko	0.0	0.0
Attal	atal	atal	atal	atal	compound	att|al	0.0	0.0	0.0	atal	atal	0.0	0.0
Attale	atal	atal	atal	atal	compound	att|ale	0.0	0.0	0.0	atal	atal	0.0	0.0
Attalie	atali	atali	atali	atali	compound	att|al|ie	0.0	0.0	0.0	atali	atali	0.0	0.0
Atton	atɔ	atɔ	atɔ	atɔ	compound	att|on	0.0	0.0	0.0	atɔ̃	atɔ̃	0.25	0.25
Aubin	obɛ	obɛ	obɛ	obɛ	compound	au|bin	0.0	0.0	0.0	obɛ	obɛ̃	0.0	0.25
Aubrac	obʁak	obʁak	obʁak	obʁak	compound	au|bra|c	0.0	0.0	0.0	obʁak	obʁak	0.0	0.0
Aucoin	okwɛ	okwɛ	okwɛ	okɛ	compound	au|coin	0.0	0.0	0.3333333333333333	okwɛ̃	okwɛ̃	0.2	0.2
Aude	od	od	od	od	compound	aud|e	0.0	0.0	0.0	od	od	0.0	0.0
Audrey	odʁi	odʁəi	odʁɛ	odʁɛ	compound	aud|re|y	0.2	0.25	0.25	odʁəi	odʁɛ	0.2	0.25
Audric	odʁik	odʁik	odʁik	odʁik	compound	aud|ric	0.0	0.0	0.0	odʁik	odʁik	0.0	0.0
Audréane	odʁean	odʁean	odʁean	odʁean	compound	aud|réa|ne	0.0	0.0	0.0	odʁean	odʁean	0.0	0.0
Audrée	odʁe	odʁe	odʁe	odʁe	compound	aud|rée	0.0	0.0	0.0	odʁe	odʁe	0.0	0.0
Audureau	odyʁo	odyʁo	odyʁo	odyʁo	compound	aud|ure|au	0.0	0.0	0.0	odyʁo	odyʁo	0.0	0.0
Aumond	omɔ	omɔ	omɔ	omɔ	compound	au|mond	0.0	0.0	0.0	omɔ̃	omɔ̃	0.25	0.25
Aurignac	ɔʁiɲak	oʁiɲak	oʁinjak	oʁiɲak	compound	auri|gnac	0.16666666666666666	0.42857142857142855	0.16666666666666666	ɔʁiɲak	ɔʁiɲak	0.0	0.0
Aurillac	oʁijak	oʁijak	oʁijak	oʁijak	compound	auri|lla|c	0.0	0.0	0.0	oʁijak	oʁijak	0.0	0.0
Aurélie	ɔʁeli	ɔʁeli	oʁeli	ɔʁeli	compound	aur|élie	0.0	0.2	0.0	ɔʁeli	oʁeli	0.0	0.2
Auzas	oza	oza	oza	oza	compound	au|za|s	0.0	0.0	0.0	oza	oza	0.0	0.0
Avantès	avɑtɛs	avɑɛs	avɑtɛ	avɑtɛ	compound	avant|ès	0.2	0.2	0.2	avɑ̃tɛs	avɑ̃tɛs	0.14285714285714285	0.14285714285714285
Axelle	aksɛl	aksɛll	aksɛl	aksɛl	compound	axel|le	0.16666666666666666	0.0	0.0	aksɛl	aksɛl	0.0	0.0
Aya	aja	aja	ɛja	aja	compound	ay|a	0.0	0.3333333333333333	0.0	aja	aja	0.0	0.0
Ayako	ajako	ajako	ajako	ajako	compound	ay|ak|o	0.0	0.0	0.0	ajako	ajako	0.0	0.0
Ayumi	ajumi	ajɔmi	ɛjymi	ajɔmi	compound	ay|um|i	0.2	0.4	0.2	ajɔmi	ajumi	0.2	0.0
Azraël	azʁaɛl	azʁaɛl	azʁaɛl	azʁaɛl	compound	[]	0.0	0.0	0.0	azʁaɛl	azʁaɛl	0.0	0.0
Azzedine	azedin	azzdin	azzdin	azzədin	compound	az|ze|dine	0.16666666666666666	0.16666666666666666	0.2857142857142857	azzdin	adzedin	0.16666666666666666	0.14285714285714285
Azéri	azeʁi	azeʁi	azeʁi	azeʁi	compound	az|éri	0.0	0.0	0.0	azeʁi	azeʁi	0.0	0.0
Aïcha	aiʃa	aiʃa	aiʃa	aiʃa	compound	aï|cha	0.0	0.0	0.0	aiʃa	aiʃa	0.0	0.0
Baalbeck	baalbɛk	baalbɛk	baalbɛk	baalbɛk	compound	ba|al|bec|k	0.0	0.0	0.0	balbɛk	balbɛk	0.16666666666666666	0.16666666666666666
Bactriane	baktʁijan	baktʁijan	baktʁian	baktʁijan	compound	bac|tria|ne	0.0	0.125	0.0	baktʁijan	baktʁijan	0.0	0.0
Bade	bad	bad	bad	bad	compound	ba|de	0.0	0.0	0.0	bad	bad	0.0	0.0
Badois	badwa	badwa	badwa	badwa	compound	ba|dois	0.0	0.0	0.0	badwa	badwa	0.0	0.0
Badr	badəʁ	badʁ	badʁ	bad	compound	ba|dr	0.25	0.25	0.6666666666666666	badʁ	badʁ	0.25	0.25
Bahloul	balul	balul	balul	balul	compound	bah|lou|l	0.0	0.0	0.0	balul	balul	0.0	0.0
Bakavi	bakavi	bakavi	bakavi	bakavi	compound	ba|ka|vi	0.0	0.0	0.0	bakavi	bakavi	0.0	0.0
Bakhmout	bakmut	bakmut	bakmu	bakmu	compound	ba|k|h|mou|t	0.0	0.2	0.2	bakmut	bakmut	0.0	0.0
Bakinois	bakinwa	bakinwa	bakinwa	bakinwa	compound	ba|kin|ois	0.0	0.0	0.0	bakinwa	bakinwa	0.0	0.0
Bakinoise	bakinwaz	bakinwaz	bakinwaz	bakinwaz	compound	ba|kin|oise	0.0	0.0	0.0	bakinwaz	bakinwaz	0.0	0.0
Bakinoises	bakinwaz	bakinwaz	bakinwaz	bakinwaz	compound	ba|ki|noises	0.0	0.0	0.0	bakinwaz	bakinwaz	0.0	0.0
Balazeïkine	balazəikin	balazəikin	balazɛjkin	balazijkin	compound	bal|az|eï|kin|e	0.0	0.2	0.2	balazɛjkin	balazeikin	0.2	0.1
Balbec	balbɛk	balbɛk	balbɛk	balbɛk	compound	bal|bec	0.0	0.0	0.0	balbɛk	balbɛk	0.0	0.0
Balduc	baldyk	baldyk	baldyk	baldyk	compound	bal|duc	0.0	0.0	0.0	baldyk	baldyk	0.0	0.0
Balzac	balzak	balzak	balzak	balzak	compound	bal|za|c	0.0	0.0	0.0	balzak	balzak	0.0	0.0
Bamako	bamako	bamako	bamako	bamako	compound	ba|ma|ko	0.0	0.0	0.0	bamako	bamako	0.0	0.0
Bankass	bɑkas	bɑkas	bɑkas	bɑkas	compound	ban|ka|ss	0.0	0.0	0.0	bɑ̃kas	bɑ̃kas	0.16666666666666666	0.16666666666666666
Barbara	baʁbaʁa	baʁbaʁa	baʁbaʁa	baʁbaʁa	compound	barba|ra	0.0	0.0	0.0	baʁbaʁa	baʁbaʁa	0.0	0.0
