grapheme	label	olaph	espeak	gruut	olaph_source	olaph_splits	olaph_per	espeak_per	gruut_per
Aale	ʔaːlə	ˈaːlə	ˈɑːlə	ʔaːlə	dict	[]	0.200	0.400	0.000
Aalen	aːlən	ˈaːlən	ˈɑːlən	ʔaalən	dict	[]	0.200	0.400	0.400
Aales	ʔaːləs	ˈaːləs	ˈɑːləs	ʔaːləs	dict	[]	0.167	0.333	0.000
Aalfang	ɑːlfaŋ	ˈaːlˌfaŋ	ˈɑːlfaŋ	ʔaalfaŋ	dict	[]	0.500	0.167	0.500
Aalfell	aːlfɛl	aːlfɛl	ɑːlfˈɛl	ʔaʔalfɛll	compound	aal|fell	0.000	0.333	0.667
Aalfett	aːlfɛt	ˈaːlˌfɛt	ɑːlfˈɛt	ʔaʔalfkɛt	dict	[]	0.333	0.333	0.667
Aalfischer	aːlfɪʃɐ	ˈaːlˌfɪʃɐ	ˈɑːlfɪʃɜ	ʔaʔalfɪʃɐ	dict	[]	0.286	0.429	0.429
Aalhaut	aːlhaʊt	ˈaːlˌhaʊt	ˈɑːlhaʊt	ʔaalaoːt	dict	[]	0.286	0.286	0.714
Aalkorb	aːlkɔʁp	ˈaːlˌkɔʁp	ˈɑːlkɔɾp	ʔaalkɔʁp	dict	[]	0.286	0.429	0.286
Aalleiter	aːllaɪtɐ	ˈaːlˌlaɪtɐ	ˈɑːlaɪtɜ	ʔaallaeːtɐ	dict	[]	0.250	0.500	0.500
Aalmolch	aːlmɔlc	ˈaːlˌmɔlc	ˈɑːlmɔlc	ʔaalmɔlts	dict	[]	0.286	0.286	0.571
Aalmutter	aːlmʊtɐ	ˈaːlˌmʊtɐ	ˈɑːlmʊtɜ	ʔaʔalmʊtɐ	dict	[]	0.286	0.429	0.429
Aalmuttern	aːlmʊtɐn	ˈaːlˌmʊtɐn	ˈɑːlmʊtɜn	ʔaʔalmʊtɛʁn	dict	[]	0.250	0.375	0.625
Aalquappe	aːlkvapə	ˈaːlˌkvapə	ˈɑːlkvapə	ʔaalkvuːappə	dict	[]	0.250	0.250	0.625
Aalraupe	aːlʁaʊpə	ˈaːlˌʁaʊpə	ˈɑːlraʊpə	ʔaalʁaoːpə	dict	[]	0.250	0.375	0.500
Aalreuse	aːlʁɔɪzə	ˈaːlˌʁɔɪzə	ɑːlrˈøːzə	ʔaalʁɔɔʏzə	dict	[]	0.250	0.625	0.500
Aalreusen	aːlʁɔɪzn	ˈaːlˌʁɔɪzn	ɑːlrˈøːzən	ʔaalʁɔɔʏzən	dict	[]	0.250	0.750	0.625
Aalräucherei	aːlʁɔɪcəʁaɪ	ˈaːlʁɔɪcəˌʁaɪ	ˌɑːlrɔøceːrˈaɪ	ʔaalʁɔɔʏcɐaeː	dict	[]	0.182	0.727	0.727
Aalräuchereien	aːlʁɔɪcəʁaɪən	ˈaːlʁɔɪcəˌʁaɪən	ˌɑːlrɔøceːrˈaɪən	ʔaalʁɔɔʏcɐəiːən	dict	[]	0.154	0.615	0.615
Aals	ʔaːls	aːls	ˈɑːls	ʔaːls	dict	[]	0.200	0.400	0.000
Aalspeer	aːlʃpeːɐ	ˈaːlˌʃpeːɐ	ˈɑːlspeːɾ	ʔaalspeːɐ	dict	[]	0.250	0.500	0.375
Aalstechen	aːlʃtɛcn	ˈaːlˌʃtɛcn	ˈɑːlstɛcən	ʔaalstɛcən	dict	[]	0.250	0.500	0.500
Aalstrich	aːlʃtʁɪc	ˈaːlˌʃtʁɪc	ˈɑːlʃtɾɪc	ʔaalstʁɪc	dict	[]	0.250	0.375	0.375
Aalsuppe	aːlzʊpə	ˈaːlˌzʊpə	ˈɑːlzʊpə	ʔaalzʊppə	dict	[]	0.286	0.286	0.429
Aaltierchen	aːltiːɐcən	ˈaːlˌtiːɐcən	ɑːltˈiːɾcən	ʔaaltiːʁcən	dict	[]	0.200	0.300	0.300
Aar	aːɐ	aːɐ	ˈɑːɾ	ʔaaː	dict	[]	0.000	1.000	1.000
Aargau	aːɐɡaʊ	ˈaːɐˌɡaʊ	ˈɑːɾɡaʊ	ʔaaʁgaoː	dict	[]	0.333	0.500	1.000
Aas	aːs	aˈʔas	ˈɑːs	aːs	dict	[]	1.000	0.667	0.000
Aase	aːzə	ˈaːzə	ˈɑːzə	ʔaaːzə	dict	[]	0.250	0.500	0.500
Aaser	aːzɐ	ˈaːzɐ	ˈɑːzɜ	ʔaaːzɐ	dict	[]	0.250	0.750	0.500
Aasfresser	aːsfʁɛsɐ	ˈaːsˌfʁɛsɐ	ˈɑːsfrɛsɜ	ʔaʔasfʁɛszɐ	dict	[]	0.250	0.500	0.500
Aasjäger	aːsjɛːɡɐ	ˈaːsˌjɛːɡɐ	ˈɑːsjɛːɡɜ	ʔaasjɛːgɐ	dict	[]	0.250	0.375	0.375
Aasjägerei	aːsjɛːɡəʁaɪ	ˈaːsjɛːɡəˌʁaɪ	ˌɑːsjɛːɡeːrˈaɪ	ʔaasjɛːgɐaeː	dict	[]	0.182	0.545	0.636
Aaskäfer	aːskɛːfɐ	ˈaːsˌkɛːfɐ	ˈɑːskɛːfɜ	ʔaaskɛːfɐ	dict	[]	0.250	0.375	0.250
Aasseite	aːszaɪtə	ˈaːsˌzaɪtə	ˈɑːsaɪtə	ʔaaszəiːtə	dict	[]	0.250	0.375	0.625
Aasvogel	aːsfoːɡl	ˈaːsˌfoːɡl	ˈɑːsfoːɡəl	ʔaasvoːgəl	dict	[]	0.250	0.375	0.625
Abartung	apʔaːɐtʊŋ	ˈapʔaːɐtʊŋ	ˈɑbaɾtˌʊŋ	ʔapaʁtʊŋ	dict	[]	0.111	0.667	0.444
Abbaggerung	apbaɡəʀʊŋ	ˈapbaɡəʁʊŋ	abˈaɡərˌʊŋ	ʔapbagɐʊŋ	dict	[]	0.222	0.444	0.444
Abbaubarkeit	apbaʊbaːɐkaɪt	ˈapbaʊbaːɐkaɪt	abˈaʊbaɾkˌaɪt	ʔapbaoːbaʁkəiːt	dict	[]	0.077	0.385	0.615
Abbauprodukt	apbaʊprodʊkt	ˈapbaʊpʁoˌdʊkt	abˈaʊpɾoːdˌʊkt	ʔapbaoːpʁoːdʊkt	dict	[]	0.250	0.417	0.417
Abbeissen	apbaɪsən	ˈapˌbaɪsən	ˈapbˌaɪsən	ʔapfaeːszən	all_lang	[]	0.250	0.250	0.625
Abberufung	apbəʁuːfʊŋ	ˈapbəˌʁuːfʊŋ	ˈapbərˌuːfʊŋ	ʔapbəʁuːfʊŋ	dict	[]	0.200	0.300	0.100
Abbestellen	apbəʃtɛlən	ˈapbəˌʃtɛlən	ˈapbəʃtˌɛlən	abəʃtɛlən	dict	[]	0.200	0.200	0.100
Abbestellung	apbəʃtɛlʊŋ	ˈapbəˌʃtɛlʊŋ	ˈapbəʃtˌɛlʊŋ	ʔapbəʃtɛllʊŋ	dict	[]	0.200	0.200	0.200
Abbezahlung	apbətsaːlʊŋ	ˈapbəˌtsaːlʊŋ	ˈapbətsˌɑːlʊŋ	ʔapbətsalʊŋ	dict	[]	0.182	0.273	0.182
Abbiegung	apbiːɡʊŋ	ˈapˌbiːɡʊŋ	ˈapbˌiːɡʊŋ	ʔapbiːgʊŋ	dict	[]	0.250	0.250	0.250
Abbildung	apbɪldʊŋ	ˈapˌbɪldʊŋ	ˈapbˌɪldʊŋ	apbɪldʊŋ	dict	[]	0.250	0.250	0.000
Abbildungstechnologie	apbɪldʊŋstɛcnoloɡiː	ˈapˌbɪldʊŋsˌtɛcnoloˈɡiː	ˈapbˌɪldʊŋstˌɛcnoːloːɡˌiː	ʔapbɪldʊŋstɛcnoːloːgiːjə	compound	abbildung|s|technologie	0.211	0.316	0.316
Abbinden	apbɪndən	ˈapˌbɪndn	ˈapbˌɪndən	ʔapbɪndn	dict	[]	0.375	0.250	0.250
Abbiss	apbɪs	ˈapˌbɪs	ˈapbˌɪs	ʔapbɪs	dict	[]	0.400	0.400	0.200
Abbitte	ʔapbɪtə	ˈapˌbɪtə	ˈapbˌɪtə	ʔapbɪtə	dict	[]	0.286	0.286	0.000
Abbitten	ʔapbɪtən	ˈapˌbɪtn	ˈapbˌɪtən	ʔapbɪtən	dict	[]	0.375	0.250	0.000
Abblendlicht	apblɛntlɪct	ˈapblɛntˌlɪct	ˈapblˌɛndlɪct	ʔapblɛndlɪct	dict	[]	0.182	0.273	0.182
Abblitzen	apblɪtsən	ˈapˌblɪtsn	ˈapblˌɪtsən	ʔapblɪtsən	dict	[]	0.333	0.222	0.111
Abblitzer	apblɪtsɐ	apblɪtsɐ	ˈapblˌɪtsɜ	ʔapblɪtsɐ	dict	[]	0.000	0.375	0.125
Abblühen	ʔapblyːən	ˈapˌblyːən	ˈapblˌyːən	ʔapblyːən	dict	[]	0.222	0.222	0.000
Abbrecher	apbʁɛcɐ	ˈapˌbʁɛcɐ	ˈapbɾˌɛcɜ	ʔapbʁɛcɐ	dict	[]	0.286	0.571	0.143
Abbrennen	apbʁɛnən	ˈapˌbʁɛnən	ˈapbɾˌɛnən	abʁɛnən	dict	[]	0.250	0.375	0.125
Abbruch	apbʁʊχ	ˈapˌbʁʊx	ˈapbɾˌʊx	abʁʊχ	dict	[]	0.500	0.667	0.167
Abbruchbirne	apbʁʊxbɪʁnə	ˈapbʁʊxˌbɪʁnə	ˈapbɾˌʊxbɪɾnə	ʔapbʁʊxbɪʁnə	dict	[]	0.182	0.364	0.091
Abbruchkante	apbʁʊxkantə	ˈapbʁʊxˌkantə	ˈapbɾʊxkˌantə	ʔapbʁʊxkantə	dict	[]	0.182	0.273	0.091
Abchasisch	apχaːzɪʃ	apˈxaːzɪʃ	ˈapʃˌɑzɪʃ	ʔapxaːzɪʃ	dict	[]	0.250	0.500	0.250
Abdampfentöler	apdampfɛntøːlɐ	ˈapdampfʔɛntˌʔøːlɐ	ˈapdampfˌɛntøːlɜ	ʔapdampfɛntɔʏlɐ	dict	[]	0.286	0.214	0.214
Abdankung	apdaŋkʊŋ	ˈapˌdaŋkʊŋ	ˈapdankˌʊŋ	ʔapdaŋkʊŋ	dict	[]	0.250	0.375	0.125
Abdankungsgrund	apdaŋkʊŋsɡʁʊnt	ˈapˌdaŋkʊŋsɡʁʊnt	ˈapdankˌʊŋsɡɾʊnt	ʔapdaŋkʊŋzgʁʊnt	compound	abdankung|s|grund	0.143	0.286	0.214
Abdankungsgrundes	apdaŋkʊŋsɡʁʊndəs	ˈapˌdaŋkʊŋsˈɡʁʊndəs	ˈapdankˌʊŋsɡɾʊndəs	ʔapdaŋkʊŋzgʁʊndəs	compound	abdankung|s|grundes	0.188	0.250	0.188
Abdankungsgründe	apdaŋkʊŋsɡʁʏndə	ˈapˌdaŋkʊŋsˈɡʁʏndə	ˈapdankˌʊŋsɡɾyndə	ʔapdaŋkʊŋzgʁʏndə	compound	abdankung|s|gründe	0.200	0.333	0.200
Abdeckung	apdɛkʊŋ	ˈapˌdɛkʊŋ	ˈapdɛkˌʊŋ	ʔapdɛkʊŋ	dict	[]	0.286	0.286	0.143
Abdruck	apdʁʊk	ˈapˌdʁʊk	ˈapdɾʊk	apdʁʊk	dict	[]	0.333	0.333	0.000
Abduktor	apdʊktoːɐ	apˈdʊktoːɐ	apdˈʊktoːɾ	ʔapdʊktoːʁ	dict	[]	0.111	0.222	0.222
Abend	aːbənt	ˈaːbmt	ˈɑːbənt	aːbənt	dict	[]	0.500	0.333	0.000
Abendbrot	aːbəntbroːt	ˈaːbntˌbʁoːt	ˈɑːbəndbɾˌoːt	aːbəntbʁoːt	dict	[]	0.364	0.455	0.091
Abendessen	ʔaːbəntʔɛsən	ˈaːbntˌʔɛsn	ˈɑːbəndˌɛsən	ʔaːbəntʔɛsən	dict	[]	0.333	0.333	0.000
Abendkasse	aːbəntkasə	ˈaːbntˌkasə	ˈɑːbəntkˌasə	ʔapʔɛntkaszə	dict	[]	0.300	0.300	0.500
Abendkleider	aːbəntklaɪdɐ	ˈaːbntˌklaɪdɐ	ˈɑːbəntklˌaɪdɜ	ʔapʔɛntklaeːdɐ	dict	[]	0.250	0.333	0.500
Abendlied	aːbəntliːt	ˈaːbntˌliːt	ˈɑːbəndlˌiːt	ʔapʔɛndliːt	dict	[]	0.300	0.400	0.500
Abendluft	aːbəntlʊft	ˈaːbəntˌlʊft	ˈɑːbəndlˌʊft	ʔapʔɛndlʊft	dict	[]	0.200	0.400	0.500
Abendmahlsgemeinschaft	aːbntmaːlsɡəmaɪnʃaft	ˈaːbntmaːlsɡəˌmaɪnʃaft	ˈɑːbəndmˌɑːlsɡeːmˌaɪnʃaft	ʔapʔɛntmalsgəmaeːnʃaft	dict	[]	0.100	0.450	0.400
Abendmahlsgottesdienst	aːbntmaːlsɡɔtəsdiːnst	ˈaːbntˌmaːlsˈɡɔtəsˌdiːnst	ˈɑːbəndmˌɑːlsɡɔtˌɛsdiːnst	ʔapʔɛntmalsgɔtɛsdiːnst	compound	abendmahls|gottesdienst	0.190	0.381	0.333
Abendspaziergang	abntʃpatsiːɐɡaŋ	ˈabntʃpaˌtsiːɐɡaŋ	ˈɑːbəntspˌɑtsiːɾɡˌaŋ	ʔapʔɛndspatsiːʁgaŋ	dict	[]	0.133	0.600	0.533
Abendstimmung	aːbəntʃtɪmʊŋ	ˈaːbmtˌʃtɪmʊŋ	ˈɑːbəntstˌɪmʊŋ	ʔapʔɛndstɪmmʊŋ	dict	[]	0.333	0.333	0.583
Abendstunde	aːbntʃtʊndə	ˈaːbntˌʃtʊndə	ˈɑːbəntstˌʊndə	ʔapʔɛndstʊndə	dict	[]	0.182	0.455	0.545
Abenteuer	aːbəntɔʏɐ	ˈaːbmtɔɪɐ	ˈɑbəntˌɔøɜ	aːbəntɔʏɐ	dict	[]	0.444	0.556	0.000
Abenteuerreise	aːbntɔɪɐʁaɪzə	ˈaːbntɔɪɐˌʁaɪzə	ˈɑbəntˌɔøɜrˌaɪzə	ʔapʔɛntɔɔʏɐʁaeːzə	dict	[]	0.154	0.615	0.615
Abenteuerroman	aːbntɔɪɐʁomaːn	ˈaːbntɔɪɐʁoˌmaːn	ˌɑbəntˌɔøɜroːmˈɑːn	ʔapʔɛntɔɔʏɐʁoːman	dict	[]	0.143	0.714	0.571
Abenteuerromane	aːbntɔɪɐʁomaːn	ˈaːbntɔɪɐʁoˌmaːnə	ˌɑbəntˌɔøɜroːmˈɑːnə	ʔapʔɛntɔɔʏɐʁoːmanə	dict	[]	0.214	0.786	0.643
Abenteuerromanes	aːbntɔɪɐʁomaːnɛs	ˈaːbntɔɪɐʁoˌmaːnəs	ˌɑbəntˌɔøɜroːmˈɑːnəs	ʔapʔɛntɔɔʏɐʁoːmanəs	compound	abenteuerromane|s	0.188	0.688	0.562
Abenteuerromans	aːbntɔɪɐʁomaːns	ˈaːbntɔɪɐʁoˌmaːns	ˌɑbəntˌɔøɜroːmˈɑːns	ʔapʔɛntɔɔʏɐʁoːmans	dict	[]	0.133	0.667	0.533
Abenteuerspielplatz	aːbntɔɪɐʃpiːlplats	ˈaːbntɔɪɐˌʃpiːlplats	ˈɑbəntˌɔøɜʃpˌiːlplats	ʔapʔɛntɔɔʏɛʁspiːlplats	dict	[]	0.111	0.389	0.500
Aber	aːbɐ	ˈaːbɐ	ˈɑːbɜ	ʔaːbeːʁ	dict	[]	0.250	0.750	1.000
Aberglaube	aːbɐɡlaʊbə	ˈaːbɐˌɡlaʊbə	ˈapɛɾɡlˌaʊbə	ʔapʔɛːɐglaoːbə	dict	[]	0.200	0.500	0.800
Aberglaubens	ʔaːbɐɡlaʊbms	ˈaːbɐˌɡlaʊbms	ˈapɛɾɡlˌaʊbəns	ʔapɐglaoːbəns	dict	[]	0.167	0.385	0.385
Abernten	apɛrntən	ˈapˌʔɛʁntn	ˈɑbɛɾntən	ʔapʔɛːɐntən	dict	[]	0.625	0.500	0.500
Aberwitz	aːbɐvɪts	ˈaːbɐˌvɪts	ˈapɛɾvˌɪts	ʔapʔɛːɐvɪts	dict	[]	0.250	0.625	0.625
Abfahrer	apfaːʁɐ	ˈapˌfaːʁɐ	ˈapfˌɑːrɜ	ʔapfaʁɐ	dict	[]	0.286	0.714	0.286
Abfahrt	apfaːrt	ˈapˌfaːɐt	ˈapfˌɑːɾt	ʔapfaʁt	dict	[]	0.429	0.571	0.429
Abfallbehälter	apfalbəhɛltɐ	ˈapfalbəˌhɛltɐ	ˈapfˌalbeːˌɛltɜ	ʔapfallbeːɛltɐ	dict	[]	0.167	0.500	0.333
Abfallbehälters	apfalbəhɛltɐs	ˈapfalbəˌhɛltɐs	ˈapfˌalbeːˌɛltɜs	ʔapfallbeːɛltɛʁs	dict	[]	0.154	0.462	0.462
Abfalleimer	apfalʔaɪmɐ	ˈapfalˌʔaɪmɐ	ˈapfˌalaɪmɜ	ʔapfallaeːmɐ	dict	[]	0.200	0.400	0.400
Abfallkorb	apfalkɔʁp	ˈapfalˌkɔʁp	ˈapfˌalkɔɾp	ʔapfallkɔʁp	dict	[]	0.222	0.333	0.222
Abfalltonne	apfaltɔnə	ˈapˌfalˈtɔnə	ˈapfˌaltɔnə	ʔapfalltɔnnə	compound	abfall|tonne	0.333	0.222	0.333
Abfasser	apfasɐ	apfasɐ	ˈapfˌasɜ	ʔapfaszɐ	dict	[]	0.000	0.500	0.333
Abfassung	apfasʊŋ	ˈapˌfasʊŋ	ˈapfˌasʊŋ	ʔapfaszʊŋ	dict	[]	0.286	0.286	0.286
Abfertigung	apfɛʁtiɡʊŋ	ˈapˌfɛʁtɪɡʊŋ	ˈapfˌɛɾtɪɡˌʊŋ	apfɛʁtiːgʊŋ	dict	[]	0.300	0.500	0.200
Abfertigungsgebäude	apfɛʁtiɡʊŋsɡəbɔɪdə	ˈapˌfɛʁtɪɡʊŋsɡəˈbɔɪdə	ˈapfˌɛɾtɪɡˌʊŋsɡəbˌɔødə	ʔapfɛʁtɪgʊŋsgeːbɔɔʏdə	compound	abfertigung|s|gebäude	0.222	0.389	0.444
Abfertigungsschalter	apfɛʁtiɡʊŋsʃaltɐ	ˈapfˌɛɾtɪgˌʊŋscaltɜ	ˈapfˌɛɾtɪɡˌʊŋscaltɜ	ʔapfɛʁtiːgʊŋsʃaltɐ	dict	[]	0.500	0.438	0.188
Abfeuerung	apfɔʏəʁʊŋ	apfˈɔøərˌʊŋ	ˈapfˌɔøərˌʊŋ	ʔapfɔɔʏɐʊŋ	compound	ab|feuerung	0.444	0.556	0.444
Abfindung	apfɪndʊŋ	ˈapˌfɪndʊŋ	ˈapfˌɪndʊŋ	apfɪndʊŋ	dict	[]	0.250	0.250	0.000
Abflug	ʔapfluːk	ˈapˌfluːk	ˈapflˌuːk	ʔapfluːk	dict	[]	0.250	0.250	0.000
Abfluges	ʔapfluːɡəs	ˈapˌfluːɡəs	ˈapflˌuːɡəs	ʔapfluːgəs	dict	[]	0.200	0.200	0.100
Abflugs	ʔapfluːks	ˈapˌfluːks	ˈapflˌuːks	ʔapfluːks	dict	[]	0.222	0.222	0.000
Abflugzeit	apfluːktsaɪt	ˈapfluːkˌtsaɪt	ˈapflˌuːɡtsaɪt	ʔapflʊktsəiːt	dict	[]	0.167	0.250	0.500
Abfluss	apflʊs	ˈapˌflʊs	ˈapflˌʊs	apflʊs	dict	[]	0.333	0.333	0.000
Abflussrohr	apflʊsʁoːɐ	ˈapflʊsˌʁoːɐ	ˈapflˌʊsroːɾ	ʔapflʊssʁoːʁ	dict	[]	0.200	0.400	0.300
Abflüge	ʔapflyːɡə	ˈapˌflyːɡə	ˈapflˌyːɡə	ʔapflyːgə	dict	[]	0.222	0.222	0.111
Abfolge	apfɔlɡə	ˈapˌfɔlɡə	ˈapfˌɔlɡə	apfɔlgə	dict	[]	0.286	0.286	0.143
Abfrage	ʔapfʁaːɡə	ˈapˌfʁaːɡə	ˈapfrˌɑːɡə	ʔapfʁaːgə	dict	[]	0.222	0.444	0.111
Abfragen	ʔapfʁaːɡən	ˈapˌfʁaːɡn	ˈapfrˌɑːɡən	ʔapfʁaːgən	dict	[]	0.300	0.400	0.100
Abfräsen	apfʁɛːzən	ˈapˌfʁɛːzn	ˈapfrˌɛːzən	apfʁɛːzən	dict	[]	0.333	0.333	0.000
Abfuhr	apfuːɐ	ˈapˌfuːɐ	ˈapfˌuːɾ	ʔapfuːʁ	dict	[]	0.333	0.500	0.333
Abführmittel	apfyːɐmɪtl	ˈapfyːɐˌmɪtl	ˈapfˌyːɾmɪtəl	apfyːɐmɪtl	dict	[]	0.200	0.400	0.000
Abgabe	apɡaːbə	ˈapˌɡaːbə	ˈapɡˌɑːbə	apgaːbə	dict	[]	0.286	0.429	0.143
Abgabeleistung	ʔapɡaːbəlaɪstʊŋ	ˈapˌɡaːbəˈlaɪstʊŋ	ˈapɡˌɑːbəlˌaɪstʊŋ	ʔapgabeːlaeːstʊŋ	compound	abgabe|leistung	0.200	0.267	0.400
Abgang	apɡaŋ	ˈapˌɡaŋ	ˈapɡˌaŋ	apgaŋ	dict	[]	0.400	0.400	0.200
Abganges	ʔapɡaŋəs	ˈapˌɡaŋəs	ˈapɡˌaŋəs	ʔapgaŋəs	dict	[]	0.250	0.250	0.125
Abgangs	ʔapɡaŋs	ˈapˌɡaŋs	ˈapɡˌaŋs	ʔapgaŋs	dict	[]	0.286	0.286	0.143
Abgasskandal	apɡaːsskandaːl	ˈapɡaːskanˌdaːl	ˈapɡˌaskandˌɑːl	ʔapgazskandal	dict	[]	0.214	0.429	0.357
Abgassonderuntersuchung	apɡaːszɔndɐʊntɐzuːxʊŋ	ˈapˌɡaːsˈzɔndɐʊntɐˈzuːxʊŋ	ˈapɡˌasɔndˌeːrʊntɜzˌuːxʊŋ	ʔapgaszɔndɐʊntɛʁzʊxʊŋ	compound	abgas|sonder|untersuchung	0.190	0.476	0.333
Abgassonderuntersuchungen	apɡaːszɔndɐʔʊntɐzuːxʊŋən	ˈapˌɡaːsˈzɔndɐʊntɐˈzuːxʊŋən	ˈapɡˌasɔndˌeːrʊntɜzˌuːxʊŋən	ʔapgaszɔndɐʊntɛʁzʊxʊŋən	compound	abgas|sonder|untersuchungen	0.208	0.417	0.333
Abgasstrom	apɡaːsʃtroːm	ˈapˌɡaːsʃtʁoːm	ˈapɡasʃtɾˌoːm	ʔapgazstʁoːm	compound	abgas|strom	0.250	0.333	0.417
Abgefeimtheit	apɡəfaɪmthaɪt	ˈapɡəˌfaɪmthaɪt	ˈapɡəfˌaɪmtaɪt	ʔapgəfaeːmtəiːt	dict	[]	0.154	0.231	0.538
Abgehen	apɡeːən	ˈapˌɡeːən	ˈapɡˌeːən	ʔapgeːən	dict	[]	0.286	0.286	0.286
Abgeher	apɡeːɐ	ˈapˌɡeːəʁ	ˈapɡˌeːɜ	ʔapgəheːɐ	compound	abgehe|r	0.667	0.500	0.667
Abgelegenheit	ʔapɡəleːɡŋhaɪt	ˈapɡəˌleːɡnhaɪt	ˈapɡəlˌeːɡənhˌaɪt	ʔapgəleːgənəiːt	compound	abgelegen|heit	0.214	0.357	0.500
Abgeordnetenhaus	apɡəʔɔʁdnətnhaʊs	ˈapɡəʔɔʁdnətnˌhaʊs	ˈapɡəˌɔɾdneːtˌɛnhaʊs	ʔapgəʔɔʁdneːtɛnaoːs	dict	[]	0.125	0.438	0.500
Abgesandte	apɡəzantə	ˈapɡəˌzantə	ˈapɡəzˌantə	ʔapgəzantə	dict	[]	0.222	0.222	0.222
Abgesandter	apɡəzantɐ	ˈapɡəˌzantɐ	ˈapɡəzˌantɜ	ʔapgəzantɐ	dict	[]	0.222	0.333	0.222
Abgeschiedenheit	ʔapɡəʃiːdnhaɪt	ˈapɡəˌʃiːdnhaɪt	ˈapɡəʃˌiːdənhˌaɪt	ʔapgəʃiːdnhaɪt	dict	[]	0.143	0.200	0.071
Abglanz	apɡlants	ˈapˌɡlants	ˈapɡlˌants	ʔapglants	dict	[]	0.250	0.250	0.250
Abgott	apɡɔt	ˈapˌɡɔt	ˈapɡˌɔt	apgɔt	dict	[]	0.400	0.400	0.200
Abgrenzung	apɡʁɛntsʊŋ	ˈapˌɡʁɛntsʊŋ	ˈapɡɾˌɛntsʊŋ	apgʁɛntsʊŋ	dict	[]	0.200	0.300	0.100
Abgrund	apɡʁʊnt	ˈapˌɡʁʊnt	ˈapɡɾˌʊnt	ʔapgʁʊnt	dict	[]	0.286	0.429	0.286
Abguss	apɡʊs	ˈapɡʊs	ˈapɡˌʊs	ʔapgʊss	dict	[]	0.200	0.400	0.600
Abguß	apɡʊs	ˈapɡʊs	ˈapɡˌuːs	ʔapgʊss	dict	[]	0.200	0.800	0.600
Abgänger	apɡɛŋɐ	ˈapˌɡɛŋəʁ	ˈapɡˌɛŋɜ	ʔapgɛŋɐ	compound	abgänge|r	0.667	0.500	0.333
Abgötterei	apɡœtəʁaɪ	apɡœtəˈʁaɪ	ˈapɡˌœteːrˌaɪ	ʔapgœtɐaeː	dict	[]	0.111	0.667	0.667
Abhandlung	aphandlʊŋ	ˈapˌhandlʊŋ	ˈaphˌandlʊŋ	aphandlʊŋ	dict	[]	0.222	0.222	0.000
Abhandlungen	aphandlʊŋən	ˈapˌhandlʊŋən	ˈaphˌandlʊŋən	aphandlʊŋən	dict	[]	0.182	0.182	0.000
Abheben	apheːbən	ˈapˌheːbn	ˈaphˌeːbən	ʔapheːbm	dict	[]	0.375	0.250	0.375
Abheber	apheːbɐ	apheːbɐ	ˈaphˌeːbɜ	ʔapheːbɐ	dict	[]	0.000	0.429	0.143
