grapheme	label	olaph	espeak	gruut	olaph_source	olaph_splits	olaph_per	espeak_per	gruut_per
Angliche	ɑɡliʃ	ɑgliʃ	ɑɡlˈiʃ	ɑɡliʃ	dict	[]	0.200	0.200	0.000
Angliches	ɑɡliʃ	ɑɡliʃ	ɑɡlˈiʃ	ɑɡliʃ	all_lang	[]	0.000	0.200	0.000
Angola	ɑɡɔla	ɑgɔla	ɑɡolˈa	ɑɡɔla	dict	[]	0.200	0.400	0.000
Angora	ɑɡɔʁa	ɑgɔʁa	ɑɡoʁˈa	ɑɡɔʁa	dict	[]	0.200	0.400	0.000
Angoulême	ɑɡulɛm	ɑɡulɛm	ɑɡulˈɛm	ɑɡulɛm	compound	[]	0.000	0.167	0.000
Angoumois	ɑɡumwa	ɑɡumwa	ɑɡumwˈa	ɑɡumwa	compound	ang|ou|mois	0.000	0.167	0.000
Angèle	ɑʒɛl	ɑʒɛl	ɑʒˈɛl	ɑʒɛl	dict	[]	0.000	0.250	0.000
Angélina	ɑʒelina	ɑʒelina	ɑʒelinˈa	ɑʒelina	dict	[]	0.000	0.143	0.000
Angéline	ɑʒelin	ɑʒelin	ɑʒelˈin	ɑʒelin	dict	[]	0.000	0.167	0.000
Angélique	ɑʒelik	ɑʒelik	ɑʒelˈik	ɑʒelik	dict	[]	0.000	0.167	0.000
Anita	anita	anita	anitˈa	anita	compound	ani|ta	0.000	0.200	0.000
Anjou	ɑʒu	ɑʒu	ɑʒˈu	ɑʒu	dict	[]	0.000	0.333	0.000
Ankara	ɑkaʁa	ɑkaʁa	ɑkaʁˈa	ɑkaʁa	dict	[]	0.000	0.200	0.000
Anna	ana	ana	anˈa	ana	dict	[]	0.000	0.333	0.000
Annabelle	anabɛl	anabɛl	anabˈɛl	anabɛl	dict	[]	0.000	0.167	0.000
Annam	anam	anam	anˈam	anam	dict	[]	0.000	0.250	0.000
Anne	an	an	ˈan	an	dict	[]	0.000	0.500	0.000
